reporting_year,facility_id,facility_name,city,state,zip_code,latitude,longitude,primary_naics_code,industry_type_subparts,industry_type_sectors,total_reported_direct_emissions_mtco2e,continuous_emissions_monitoring,source_system,evidence_class,data_classification
2023,1000001,PSE Ferndale Generating Station,FERNDALE,WA,98248,48.828707,-122.685533,221112,D,Power Plants,715257.16,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1000002,Ardagh Glass Inc. (Dunkirk),DUNKIRK,IN,47336,40.371053,-85.198134,327213,"C,N",Minerals,116955.04,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1000003,Ardagh Glass Inc. (Henderson),Henderson,NC,27537,36.291066,-78.391883,327213,"C,N",Minerals,77625.44,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1000005,Ardagh Glass Inc. (Madera),MADERA,CA,93637,36.92375,-120.10151,327213,"C,N",Minerals,71574.356,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1000007,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,BERNALILLO,NM,87004,35.330083,-106.5275,327420,C,Minerals,15755.34,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1000010,SANTA ROSA CENTRAL LANDFILL,MILTON,FL,32583,30.5804,-87.0621,562212,HH,Waste,196274.75,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1000015,"TYSON FARMS, INC.",WILKESBORO,NC,28697,36.143889,-81.163333,311615,C,Other,21782.966,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1000016,TYSON FARMS INCORPORATED HARMONY,HARMONY,NC,28634,35.95458,-80.72108,311613,C,Other,40292.548,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1000017,BASF CORPORATION,PALMYRA,MO,63461,39.834118,-91.436791,325320,C,Chemicals,128734.616,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1000019,WESTERN SUGAR COMPANY,SCOTTSBLUFF,NE,69361,41.85942,-103.633,311313,"C,S",Minerals,168917.572,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1000020,Ardagh Glass Inc. (Port Allegany),PORT ALLEGANY,PA,16743,41.81787,-78.28699,327213,"C,N",Minerals,61642.128,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
