record_id,scenario_id,period,facility_id,case_type,chemistry,pack_mass_kg,demand_packs,demand_kg,production_packs,regular_capacity_packs,overtime_capacity_packs,service_gap_packs,eol_returns_packs,eol_returns_kg,collection_rate,grade_A_share,grade_B_share,grade_C_share,soh,cycles,damage_index,temperature_c,recovery_quality_score,quality_grade,pathway,recycle_yield,reman_yield,second_life_share,reman_eligible_share,expected_recovered_kg,recycled_content_share,material_price_index,transport_distance_km,facility_available,facility_uptime,energy_kwh_per_pack,grid_kgco2e_per_kwh,scrap_rate,safety_stock_packs,imputation_required,data_quality_state
OBS-00001-SCN-01-001-P01,SCN-01-001,1,PLANT-08,baseline,NCA,402.889,2980.381,1200763.066,2956.875,3266.707,576.053,0.0,547.227,220471.813,0.935511,0.577142,0.188906,0.233952,0.829571,1039.251,0.06157,32.154,0.666275,A,remanufacture,0.909243,0.862784,0.193482,0.369488,151250.024,0.307484,1.20965,616.208,1,0.984747,310.194,0.39145,0.032983,348.089,0,COMPLETE
OBS-00002-SCN-01-001-P02,SCN-01-001,2,PLANT-08,baseline,NCA,402.889,3219.074,1296929.919,3200.852,3616.602,267.988,0.0,347.158,139866.148,0.860576,0.478452,0.226496,0.295052,0.881305,1674.525,0.220322,22.463,0.641174,A,recycle,0.901977,0.855284,0.151281,0.279881,92142.664,0.380513,0.926729,531.552,1,0.999,346.834,0.431324,0.026034,336.439,0,COMPLETE
OBS-00003-SCN-01-001-P03,SCN-01-001,3,PLANT-08,baseline,NCA,402.889,3627.566,1461507.13,3647.579,4082.933,292.217,0.0,870.458,350697.958,0.840522,0.440615,0.21785,0.341535,0.690082,1270.925,0.2407,26.08,0.498084,B,remanufacture,0.880408,0.825077,0.151322,0.340814,220246.617,0.194323,1.081813,494.546,1,0.997432,260.405,0.4199,0.046049,261.607,0,COMPLETE
OBS-00004-SCN-01-001-P04,SCN-01-001,4,PLANT-08,baseline,NCA,402.889,3684.016,1484249.882,3670.074,4025.314,418.304,0.0,974.519,392623.318,0.929088,0.410054,0.275697,0.314249,0.832545,1364.565,0.266345,34.444,0.563256,B,remanufacture,0.85114,0.82759,0.147569,0.332733,264662.605,0.33062,1.026372,280.788,1,0.982397,368.209,0.433043,0.032892,299.887,0,COMPLETE
OBS-00005-SCN-01-001-P05,SCN-01-001,5,PLANT-08,baseline,NCA,402.889,3583.284,1443666.308,3530.378,3895.387,630.272,0.0,541.078,217994.427,0.892074,0.520134,0.172234,0.307632,0.759231,919.695,0.106139,25.757,0.61343,B,remanufacture,0.846711,0.840764,0.151006,0.291598,139793.282,0.371164,0.973783,304.873,1,0.978026,319.783,0.344598,0.042028,205.391,0,COMPLETE
OBS-00006-SCN-01-001-P06,SCN-01-001,6,PLANT-08,baseline,NCA,402.889,3120.853,1257357.851,3147.708,3343.765,348.409,0.0,431.338,173781.551,0.8964,0.407425,0.281657,0.310918,0.630718,875.89,0.094313,32.083,0.507598,B,remanufacture,0.875981,0.836577,0.137902,0.283182,117640.51,0.186601,0.868669,422.291,1,0.975226,259.625,0.35925,0.03943,130.524,0,COMPLETE
OBS-00007-SCN-01-001-P07,SCN-01-001,7,PLANT-08,baseline,NCA,402.889,2758.393,1111326.611,2731.433,3064.526,448.309,0.0,740.512,298344.289,0.890587,0.450821,0.216291,0.332887,0.728014,1547.388,0.192088,31.272,0.53315,B,recycle,0.913726,0.817864,0.143161,0.307383,208022.027,0.251803,0.946799,723.561,1,0.976848,282.948,0.402367,0.046678,325.741,0,COMPLETE
OBS-00008-SCN-01-001-P08,SCN-01-001,8,PLANT-08,baseline,NCA,402.889,2544.997,1025351.852,2545.704,2908.81,344.429,0.0,349.4,140769.439,0.824937,0.512349,0.240261,0.24739,0.790957,953.816,0.053934,17.981,0.642544,A,recycle,0.90941,0.862794,0.159098,0.327061,88804.368,0.333636,1.063106,177.882,1,0.992001,294.262,0.263597,0.046631,271.372,0,COMPLETE
OBS-00009-SCN-01-001-P09,SCN-01-001,9,PLANT-08,baseline,NCA,402.889,2494.683,1005080.726,2467.701,2669.705,346.068,0.0,527.436,212498.406,0.926593,0.404999,0.267939,0.327062,0.676654,885.655,0.238473,27.037,0.486613,B,remanufacture,0.881421,0.852014,0.149274,0.320333,147644.714,0.371014,1.046556,278.773,1,0.99103,284.608,0.321188,0.039399,179.112,0,COMPLETE
OBS-00010-SCN-01-001-P10,SCN-01-001,10,PLANT-08,baseline,NCA,402.889,2843.347,1145553.816,2812.204,3018.427,519.196,0.0,343.118,138238.499,0.922415,0.536947,0.208967,0.254085,0.923237,837.579,0.137908,23.739,0.714752,A,second_life,0.887266,0.844868,0.167328,0.325412,94207.029,0.372922,1.012936,410.411,1,0.997958,291.976,0.385034,0.037267,309.759,0,COMPLETE
OBS-00011-SCN-01-002-P01,SCN-01-002,1,PLANT-08,baseline,LFP,395.208,1948.411,770027.116,1964.366,2131.631,362.471,0.0,488.756,193160.026,0.945493,0.45055,0.227888,0.321562,0.623399,666.128,0.161313,25.572,0.4897,B,remanufacture,0.895179,0.798098,0.159552,0.286248,137403.026,0.286839,1.064227,480.977,1,0.975973,319.194,0.274279,0.030623,127.869,0,COMPLETE
